plasmid_id,length,AS_SRR11088434,AS_SRR11235435,AS_SRR11673976,AS_SRR11783213,AS_SRR13994250,AS_SRR14932642,AS_SRR8208348,AS_SRR8351382,AS_SRR8831201,AS_SRR9261047,DW_SRR15085115,NW_SRR13225453,NW_SRR13225455,NW_SRR13608705,NW_SRR13608725,NW_SRR14751605,NW_SRR21694251,NW_SRR21802946,NW_SRR25018385,WW_ERR11269302,WW_ERR1713344,WW_ERR2592329,WW_ERR4678576,WW_ERR9855099,WW_SRR11088392,WW_SRR12396704,WW_SRR22752015,WW_SRR8208343,WW_SRR8648016,DW_SRR17063163,DW_SRR18749962,DW_SRR19238510,DW_SRR21802943,DW_SRR22105540,DW_SRR22372546,DW_SRR6439731,DW_SRR7369915,GW_ERR3281033,GW_SRR12964613,GW_SRR13727526,GW_SRR13727538,GW_SRR15669520,GW_SRR18331974,GW_SRR20309467,GW_SRR21427518,GW_SRR26726064,GW_SRR7912025,NW_SRR11088437,DW_SRR15085116,NW_SRR12404955
CP063167.1,2479635,1798610,1480900,3323172,122634,3227963,806415,311272,401787,267140,316048,666536,208582,170681,547194,668367,661541,266771,201506,545765,891233,622311,744074,1803138,512757,965498,110725,171542,388843,463370,394656,564270,583900,284670,380925,212214,729014,189169,2173735,507680,1679042,1733174,492266,65966,711461,723482,806756,523013,1231562,818123,154981
NZ_CP062064.1,137594,25247,19581,42725,2294,34195,13232,3608,9660,3277,4293,12963,4353,3713,6465,7176,8468,4769,2735,6179,19735,8185,13742,31341,5988,15812,6075,4899,6646,7416,4115,8142,6467,4528,5332,3127,11265,2288,12367,5659,21869,22399,5401,1702,2138,6219,7424,4492,17253,16752,799
NZ_CP119142.1,2167441,282401,216491,424379,25497,349458,145737,43691,102059,51100,49657,117585,50199,47578,100813,114757,149895,87460,52535,84189,131960,104240,587413,763019,76895,182489,23857,64400,128840,98053,76099,129329,173224,58169,58067,36256,108172,54553,109827,83416,324502,370031,105128,12148,166748,108677,108015,82277,281771,135865,52522
NZ_CP119140.1,2168363,281070,212996,424113,24994,347912,143879,42763,99323,49830,48636,115750,50252,47043,96329,111219,145335,85428,50935,86316,131369,101428,578978,754005,75405,180664,23709,63649,128530,97108,75311,128950,171170,56853,57424,35702,106584,53392,108997,81450,317106,362573,104937,11747,160828,107342,106809,80670,274353,134936,51909
NZ_CP115947.1,2326525,1477177,1150805,2676788,136240,2358092,785199,430811,954940,455024,301098,622029,264917,218179,813366,1107068,1089128,339183,297408,567659,1270424,721485,914841,2221539,583781,969450,276445,374596,661318,397522,520082,507039,643956,351496,350244,237236,695768,238671,1337276,983282,1709082,1712812,740596,148038,2385929,1267104,1107810,761227,1108260,742935,281598
NZ_CP115942.1,1578131,724216,566851,1318980,64504,1156218,370533,189033,390462,198003,144776,289389,123281,98372,370882,496691,488431,155195,134555,268124,533495,321497,392198,982204,263529,466321,110132,157575,272880,198040,236384,251794,311541,167996,169386,114817,321327,110188,612598,404172,821090,793923,320127,55661,1014761,567045,486451,358326,540566,351568,125719
NZ_CP117194.1,187379,90819,72246,158309,9347,120658,66180,32304,94805,35778,22682,39012,23406,17617,45974,91775,94899,28388,21828,37648,218572,59205,92050,270938,50130,58158,36527,49445,75091,27689,25904,30586,41699,18791,17583,32230,56713,20791,54506,99636,104117,153782,45213,28775,255661,130276,257520,73009,62182,47278,18457
NZ_AP026896.1,4944632,1755049,1222430,2824102,143142,2452343,939461,308638,867515,299121,352227,654208,272132,214518,533919,662191,919221,344264,242093,480531,1498586,790317,1042982,2169560,596823,3405753,269599,685416,2086063,494521,362973,530897,539676,506909,340116,188639,865322,510903,979583,452831,1872342,1511739,703208,91240,1224337,735474,924710,1420021,1267532,797368,210361
NZ_CP101744.1,265777,51956,36229,76090,4954,54000,38253,11533,44995,13588,11025,20484,10832,8260,16987,34712,46225,16680,13187,13999,105677,26453,48600,143168,22783,35275,23026,20943,27156,16535,15924,18155,22515,12177,7920,14503,22672,14705,29841,23473,46483,53448,20575,11427,70639,43011,45580,37969,32066,25112,8687
CP099607.1,424035,367511,297835,695477,25678,670892,171348,72863,101964,65154,66587,138668,46628,36937,121232,167607,171478,47922,41700,126681,218780,137603,165233,418079,111523,214430,31617,44116,91333,91789,77183,107342,99524,68030,77444,47956,148869,34872,296642,151849,376456,371268,116040,19730,267122,185180,202411,158476,262262,168039,30150
CP099606.1,159105,119041,92536,218966,7828,217774,54569,21633,28907,17343,20225,47453,13047,10956,31175,37452,41027,16019,12844,38816,81854,42667,51840,129844,35036,69666,11143,10177,27472,29017,27174,34067,28556,23226,25678,14646,45563,12782,98022,36194,114958,143006,31783,3983,67931,43988,52553,50582,85160,57177,9296
NZ_CP099646.1,294790,61557,47147,101924,4790,93926,23575,7270,13651,7146,9387,21332,5452,4890,15304,14770,15358,9320,5583,15058,23118,16779,22216,48376,13360,29212,2934,3609,10788,17069,10758,19616,16367,10741,13390,5955,21153,6436,32488,9117,56397,50404,13816,1545,14337,16961,21430,10292,40734,25741,3195
NZ_CP047170.1,531034,243938,176920,413211,16591,378578,96610,33249,60206,24424,47525,94227,26788,22660,66543,60308,57966,32236,23581,68185,101329,66803,88175,207030,57763,124628,7780,15971,53473,60975,41939,72830,76484,32093,46566,33635,88351,21316,132065,35668,215637,205537,83812,4845,65011,75686,96887,50422,159698,111889,17558
NZ_CP093017.1,436805,81744,62055,134204,6385,112772,37283,10124,21187,10294,13893,75512,13312,8992,21600,22905,32433,13599,10222,20291,33982,23570,41570,82073,18299,56915,3530,11454,25475,24730,14302,27800,24742,28330,14736,8927,35318,8109,45358,19378,77663,65855,24319,15165,31224,28135,37254,70380,54652,111111,5054
CP090106.1,3719350,1432132,1055961,2412956,110890,2430777,569227,288422,524307,184268,227273,782762,172324,144182,645581,532324,428245,237303,186501,464852,890791,475469,551831,1145322,424378,699269,113017,142320,410373,364925,358349,473539,519349,267508,335313,288641,529921,167380,881732,286970,1338923,1155068,529143,28832,453486,447429,548464,397008,988486,924676,206652
NZ_CP088082.1,708898,544599,410925,999632,42410,855270,303754,120172,271852,137447,122646,202893,80179,63526,183381,262306,280913,79430,68101,178083,402523,218246,315089,762090,173409,381548,83603,102377,192072,139418,105454,154024,150111,85795,104975,80332,251783,58412,370463,263545,554351,552805,180961,44235,439481,354778,382365,247158,363140,244260,48131
NZ_CP083452.1,372730,233365,158560,341468,20031,257787,183310,68677,220014,87870,64120,97751,86636,65182,152781,284232,405891,117317,85479,133488,499733,151100,270693,826396,124271,214350,98728,146262,160880,77969,111902,132444,279524,82335,61464,88341,123571,88362,183501,223869,329888,372405,172323,53818,679654,348179,332329,230529,217215,120323,108169
NZ_CP069372.1,70477,31441,16154,38194,2199,30940,11409,3948,43718,2374,12174,13483,7654,6222,10937,10919,17979,5452,4718,13009,16148,8064,11994,36405,10101,13141,2438,9782,13676,6212,2676,5851,8876,3468,3519,27144,11594,2487,12201,2075,20685,48641,21394,1125,36710,11278,30916,2799,17156,15627,4512
NZ_CP080763.1,28165,36651,24572,59524,3655,37803,36132,16934,60662,20182,12676,14246,18767,13149,32095,70028,104717,21651,16727,26862,143926,33161,55294,181843,31273,29489,24725,33512,36721,13651,25599,26140,55190,12222,12281,17508,22207,18278,23403,50493,56571,77215,44957,14780,169865,93307,80553,51271,33469,17475,24894
NZ_CP011515.1,262673,244037,198089,438257,21379,378525,144585,83607,178896,90326,50008,99377,50223,40318,150224,243856,242110,73235,54802,122406,200456,127590,148642,356717,102617,157598,52363,83914,110409,62650,93811,83693,109398,59159,60425,55326,117962,46549,177627,210613,267082,303257,111152,24343,408339,222775,200474,146849,192323,120215,60147
NZ_CP009453.1,243437,89862,67254,157342,7511,142085,40218,14418,78587,8912,19178,129526,8726,7683,54021,46449,22307,9977,8543,24716,71373,29217,36782,91011,25893,43740,13749,12046,22979,22792,16033,36029,42975,21987,15892,73039,36369,6066,69664,10089,69867,63187,30904,5354,12900,98633,41363,277530,53963,185211,10182
NC_009037.1,16762,11666,4008,6257,670,3862,5515,2500,5466,2927,1199,5526,4616,4885,4885,7798,12225,13143,5081,2866,6476,4293,10133,17857,3549,11763,1403,10149,12067,3494,8160,5520,13375,4933,3775,1834,3737,7744,3798,1428,8464,19830,4983,647,4184,3200,2133,4511,12399,5939,13700
NC_008826.1,599444,245175,198154,440381,17317,420539,103763,41094,47206,38898,38549,81982,24297,21094,67678,84606,72457,34543,23676,66860,104197,79493,93452,226743,64075,118765,12252,19027,48375,63929,43894,71026,55684,42212,48858,22140,95765,21155,128697,66570,211567,212231,57011,8815,102488,96772,111798,51769,153159,95396,12358
NZ_CP035709.1,84154,41810,32058,74099,3813,60620,21441,9435,18144,11898,8243,17190,7261,5399,18048,27984,29949,6446,5996,27885,24366,16008,20985,52463,14086,22626,7234,8060,16333,10864,6664,12720,11957,8316,6442,6877,15460,4273,25003,26070,43076,53239,17800,3678,45745,34683,45890,24221,29434,20335,2601
NZ_CP039965.1,1584601,355512,240254,514989,26409,429250,157227,38955,177366,30256,96098,152603,86785,75703,130443,116387,163457,106400,68164,154749,143481,92626,161120,376520,84488,213838,17645,55719,105571,104716,68515,150918,303605,59559,68503,90442,129162,55262,159439,39694,339262,354721,366352,10665,146170,97264,216060,69410,300032,180359,85300
NZ_CP033971.1,333965,103850,79989,183077,7931,159893,48472,18326,32417,18336,19106,39876,14116,11246,38011,44290,43761,16820,13268,31608,61721,35126,47745,112929,29459,62814,8138,14900,28466,28829,23604,35152,36121,18601,21275,12828,40552,11684,73287,34832,100195,97836,34298,5072,65972,52492,50182,38671,72657,47954,9731
CP023017.1,2034982,783465,616125,1417389,56259,1310651,343436,116589,159729,105536,142388,290065,81807,68703,210949,219849,217409,94198,72110,217377,359220,243911,330756,762824,198372,458321,47682,58192,164026,206245,134509,233314,197037,128116,149920,74456,304002,61886,578245,175734,736046,698926,199993,20253,283179,277067,308520,233272,524204,352317,38223
NZ_CP029986.1,265221,92979,70902,157956,6534,153748,36569,11479,39257,8748,16110,100234,7780,6757,35462,33314,25321,9037,7021,26084,56308,26685,34335,79975,21808,43349,6871,6092,18571,23616,14515,29898,32508,25604,16123,40166,33303,5680,92809,13127,72625,66400,23733,1915,16635,48862,35305,123696,57061,207361,13817
NZ_CP029358.1,405625,329203,247409,617529,24530,613063,136189,68072,93961,50013,59312,142424,32269,27860,108269,110794,84195,37841,31675,98431,146587,111518,123633,273851,93416,173830,20749,24665,79557,78738,72986,93682,77589,47054,70525,40127,127673,26258,207296,67211,307586,276033,106518,6651,104038,103451,119422,89729,216843,170315,23712
NZ_CP029356.1,882608,671997,495373,1230100,51520,1235722,284293,137665,235155,101344,120206,320235,72569,62037,247739,241997,194041,98815,74141,199633,321904,243042,286107,589540,199720,354481,57117,62610,196978,163053,162735,198416,189060,106168,148603,96360,262827,66473,421296,162520,631260,555846,219668,16986,240416,235811,269805,202718,442811,375105,72366
CP025986.1,2212170,1186741,939646,2166269,94145,1992722,563339,255342,469164,250858,224778,458073,158777,130707,462498,581832,566585,200190,162873,386939,714309,467991,588839,1397308,375680,725357,137635,177550,369526,308354,295483,364592,375898,236859,251295,145337,508859,136769,919261,487816,1197280,1190775,396665,61209,1029664,672046,614618,470848,830954,563574,130972
NZ_CP023549.1,860520,486411,359322,846204,34460,829806,193647,77474,177263,55740,102180,213686,56080,47656,140936,134823,130987,71227,52439,144346,212603,151733,179698,425220,131654,235983,24002,40941,130070,116409,82798,137118,147250,59699,98472,86587,187657,43943,278735,77960,414741,389015,186630,10256,162839,145119,190520,107149,319025,247789,44374
