Sample,Group,Plasmid,Size_Category
AS_SRR11673976,AS,CP025986.1,Large-plasmid
AS_SRR11673976,AS,CP023017.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP039965.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP115942.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP138516.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP138514.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP138497.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP029356.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP155749.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP023549.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP049906.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP088082.1,Large-plasmid
AS_SRR11673976,AS,NC_008826.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP047170.1,Large-plasmid
AS_SRR11673976,AS,CP099607.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP029358.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP076395.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP083452.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP033971.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP071828.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP029986.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP011515.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP009453.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP117194.1,Large-plasmid
AS_SRR11673976,AS,CP099606.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP136338.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP149519.1,Small-plasmid
AS_SRR11673976,AS,NZ_CP035709.1,Small-plasmid
AS_SRR11673976,AS,NZ_CP069372.1,Small-plasmid
AS_SRR11673976,AS,NZ_CP049912.1,Small-plasmid
AS_SRR11673976,AS,NZ_CP080763.1,Small-plasmid
AS_SRR11783213,AS,NZ_CP049912.1,Small-plasmid
AS_SRR11783213,AS,NZ_CP080763.1,Small-plasmid
AS_SRR13994250,AS,NZ_AP026896.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP069303.1,Large-plasmid
AS_SRR13994250,AS,CP090106.1,Large-plasmid
AS_SRR13994250,AS,NZ_LR743510.1,Large-plasmid
AS_SRR13994250,AS,CP063167.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP115947.1,Large-plasmid
AS_SRR13994250,AS,CP025986.1,Large-plasmid
AS_SRR13994250,AS,CP023017.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP115942.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP138516.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP138514.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP138497.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP029356.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP155749.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP023549.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP049906.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP088082.1,Large-plasmid
AS_SRR13994250,AS,NC_008826.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP047170.1,Large-plasmid
AS_SRR13994250,AS,CP099607.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP029358.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP076395.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP083452.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP033971.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP071828.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP029986.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP011515.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP009453.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP117194.1,Large-plasmid
AS_SRR13994250,AS,CP099606.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP136338.1,Large-plasmid
AS_SRR13994250,AS,NZ_CP149519.1,Small-plasmid
AS_SRR13994250,AS,NZ_CP035709.1,Small-plasmid
AS_SRR13994250,AS,NZ_CP069372.1,Small-plasmid
AS_SRR13994250,AS,NZ_CP049912.1,Small-plasmid
AS_SRR13994250,AS,NZ_CP080763.1,Small-plasmid
AS_SRR14932642,AS,NZ_AP026896.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP069303.1,Large-plasmid
AS_SRR14932642,AS,CP063167.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP115947.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP029356.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP088082.1,Large-plasmid
AS_SRR14932642,AS,CP099607.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP029358.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP076395.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP083452.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP011515.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP117194.1,Large-plasmid
AS_SRR14932642,AS,CP099606.1,Large-plasmid
AS_SRR14932642,AS,NZ_CP035709.1,Small-plasmid
AS_SRR14932642,AS,NZ_CP069372.1,Small-plasmid
AS_SRR14932642,AS,NZ_CP049912.1,Small-plasmid
AS_SRR14932642,AS,NZ_CP080763.1,Small-plasmid
AS_SRR14932642,AS,NC_009037.1,Small-plasmid
AS_SRR8208348,AS,NZ_CP049912.1,Small-plasmid
AS_SRR8208348,AS,NZ_CP080763.1,Small-plasmid
AS_SRR8351382,AS,NZ_AP026896.1,Large-plasmid
AS_SRR8351382,AS,NZ_CP069303.1,Large-plasmid
AS_SRR8351382,AS,NZ_CP076395.1,Large-plasmid
AS_SRR8351382,AS,NZ_CP117194.1,Large-plasmid
AS_SRR8351382,AS,NZ_CP069372.1,Small-plasmid
AS_SRR8351382,AS,NZ_CP049912.1,Small-plasmid
AS_SRR8351382,AS,NZ_CP080763.1,Small-plasmid
AS_SRR8831201,AS,NZ_CP049912.1,Small-plasmid
AS_SRR8831201,AS,NZ_CP080763.1,Small-plasmid
AS_SRR9261047,AS,NZ_CP117194.1,Large-plasmid
AS_SRR9261047,AS,NZ_CP035709.1,Small-plasmid
AS_SRR9261047,AS,NZ_CP069372.1,Small-plasmid
AS_SRR9261047,AS,NZ_CP049912.1,Small-plasmid
AS_SRR9261047,AS,NZ_CP080763.1,Small-plasmid
DW_SRR15085115,DW,NZ_LR743510.1,Large-plasmid
DW_SRR15085115,DW,NZ_CP029356.1,Large-plasmid
DW_SRR15085115,DW,NZ_CP029358.1,Large-plasmid
DW_SRR15085115,DW,NZ_CP076395.1,Large-plasmid
DW_SRR15085115,DW,NZ_CP069372.1,Small-plasmid
DW_SRR15085115,DW,NZ_CP049912.1,Small-plasmid
DW_SRR15085115,DW,NZ_CP080763.1,Small-plasmid
DW_SRR15085116,DW,NZ_LR743510.1,Large-plasmid
DW_SRR15085116,DW,NZ_CP029358.1,Large-plasmid
DW_SRR15085116,DW,NZ_CP076395.1,Large-plasmid
DW_SRR15085116,DW,NZ_CP049912.1,Small-plasmid
DW_SRR15085116,DW,NZ_CP080763.1,Small-plasmid
DW_SRR17063163,DW,NZ_CP049912.1,Small-plasmid
DW_SRR17063163,DW,NZ_CP080763.1,Small-plasmid
DW_SRR18749962,DW,NZ_CP076395.1,Large-plasmid
DW_SRR18749962,DW,NZ_CP009453.1,Large-plasmid
DW_SRR18749962,DW,NZ_CP080763.1,Small-plasmid
DW_SRR19238510,DW,NZ_CP076395.1,Large-plasmid
DW_SRR19238510,DW,NZ_CP069372.1,Small-plasmid
DW_SRR19238510,DW,NZ_CP080763.1,Small-plasmid
DW_SRR21802943,DW,NZ_CP076395.1,Large-plasmid
DW_SRR21802943,DW,NZ_CP029986.1,Large-plasmid
DW_SRR21802943,DW,NZ_CP080763.1,Small-plasmid
DW_SRR22105540,DW,CP099607.1,Large-plasmid
DW_SRR22105540,DW,NZ_CP011515.1,Large-plasmid
DW_SRR22105540,DW,CP099606.1,Large-plasmid
DW_SRR22105540,DW,NZ_CP080763.1,Small-plasmid
DW_SRR22372546,DW,NZ_CP076395.1,Large-plasmid
DW_SRR22372546,DW,NZ_CP009453.1,Large-plasmid
DW_SRR22372546,DW,NZ_CP117194.1,Large-plasmid
DW_SRR22372546,DW,NZ_CP069372.1,Small-plasmid
DW_SRR22372546,DW,NZ_CP049912.1,Small-plasmid
DW_SRR22372546,DW,NZ_CP080763.1,Small-plasmid
DW_SRR6439731,DW,NZ_AP026896.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP069303.1,Large-plasmid
DW_SRR6439731,DW,CP063167.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP115947.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP029356.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP088082.1,Large-plasmid
DW_SRR6439731,DW,CP099607.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP029358.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP076395.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP083452.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP011515.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP117194.1,Large-plasmid
DW_SRR6439731,DW,CP099606.1,Large-plasmid
DW_SRR6439731,DW,NZ_CP069372.1,Small-plasmid
DW_SRR6439731,DW,NZ_CP049912.1,Small-plasmid
DW_SRR6439731,DW,NZ_CP080763.1,Small-plasmid
DW_SRR7369915,DW,NZ_AP026896.1,Large-plasmid
DW_SRR7369915,DW,NZ_CP080763.1,Small-plasmid
DW_SRR7369915,DW,NC_009037.1,Small-plasmid
GW_ERR3281033,GW,NZ_CP069303.1,Large-plasmid
GW_ERR3281033,GW,CP063167.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP115947.1,Large-plasmid
GW_ERR3281033,GW,CP025986.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP115942.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP138516.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP138514.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP029356.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP155749.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP088082.1,Large-plasmid
GW_ERR3281033,GW,CP099607.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP029358.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP076395.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP083452.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP029986.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP011515.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP009453.1,Large-plasmid
GW_ERR3281033,GW,CP099606.1,Large-plasmid
GW_ERR3281033,GW,NZ_CP069372.1,Small-plasmid
GW_ERR3281033,GW,NZ_CP049912.1,Small-plasmid
GW_ERR3281033,GW,NZ_CP080763.1,Small-plasmid
GW_SRR12964613,GW,CP063167.1,Large-plasmid
GW_SRR12964613,GW,NZ_CP080763.1,Small-plasmid
GW_SRR13727526,GW,NZ_CP069303.1,Large-plasmid
GW_SRR13727526,GW,CP063167.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP115947.1,Large-plasmid
GW_SRR13727526,GW,CP025986.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP138516.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP138514.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP029356.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP155749.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP023549.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP088082.1,Large-plasmid
GW_SRR13727526,GW,CP099607.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP029358.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP083452.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP011515.1,Large-plasmid
GW_SRR13727526,GW,CP099606.1,Large-plasmid
GW_SRR13727526,GW,NZ_CP069372.1,Small-plasmid
GW_SRR13727526,GW,NZ_CP080763.1,Small-plasmid
GW_SRR13727538,GW,CP063167.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP029356.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP088082.1,Large-plasmid
GW_SRR13727538,GW,CP099607.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP029358.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP076395.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP011515.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP117194.1,Large-plasmid
GW_SRR13727538,GW,CP099606.1,Large-plasmid
GW_SRR13727538,GW,NZ_CP069372.1,Small-plasmid
GW_SRR13727538,GW,NZ_CP049912.1,Small-plasmid
GW_SRR13727538,GW,NZ_CP080763.1,Small-plasmid
GW_SRR15669520,GW,NZ_AP026896.1,Large-plasmid
GW_SRR15669520,GW,NZ_CP069303.1,Large-plasmid
GW_SRR15669520,GW,NZ_CP076395.1,Large-plasmid
GW_SRR15669520,GW,NZ_CP069372.1,Small-plasmid
GW_SRR15669520,GW,NZ_CP049912.1,Small-plasmid
GW_SRR15669520,GW,NZ_CP080763.1,Small-plasmid
GW_SRR18331974,GW,NZ_CP080763.1,Small-plasmid
GW_SRR20309467,GW,NZ_CP080763.1,Small-plasmid
GW_SRR21427518,GW,NZ_CP076395.1,Large-plasmid
GW_SRR21427518,GW,NZ_CP009453.1,Large-plasmid
GW_SRR21427518,GW,NZ_CP117194.1,Large-plasmid
GW_SRR21427518,GW,NZ_CP069372.1,Small-plasmid
GW_SRR21427518,GW,NZ_CP080763.1,Small-plasmid
GW_SRR26726064,GW,NZ_CP076395.1,Large-plasmid
GW_SRR26726064,GW,NZ_CP069372.1,Small-plasmid
GW_SRR26726064,GW,NZ_CP080763.1,Small-plasmid
GW_SRR7912025,GW,NZ_CP009453.1,Large-plasmid
GW_SRR7912025,GW,NZ_CP035709.1,Small-plasmid
GW_SRR7912025,GW,NZ_CP080763.1,Small-plasmid
NW_SRR11088437,NW,NZ_AP026896.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP069303.1,Large-plasmid
NW_SRR11088437,NW,CP090106.1,Large-plasmid
NW_SRR11088437,NW,NZ_LR743510.1,Large-plasmid
NW_SRR11088437,NW,CP063167.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP115947.1,Large-plasmid
NW_SRR11088437,NW,CP025986.1,Large-plasmid
NW_SRR11088437,NW,CP023017.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP039965.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP115942.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP138516.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP138514.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP138497.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP029356.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP155749.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP023549.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP088082.1,Large-plasmid
NW_SRR11088437,NW,NC_008826.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP047170.1,Large-plasmid
NW_SRR11088437,NW,CP099607.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP029358.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP076395.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP083452.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP029986.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP011515.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP009453.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP117194.1,Large-plasmid
NW_SRR11088437,NW,CP099606.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP136338.1,Large-plasmid
NW_SRR11088437,NW,NZ_CP149519.1,Small-plasmid
NW_SRR11088437,NW,NZ_CP035709.1,Small-plasmid
NW_SRR11088437,NW,NZ_CP069372.1,Small-plasmid
NW_SRR11088437,NW,NZ_CP049912.1,Small-plasmid
NW_SRR11088437,NW,NZ_CP080763.1,Small-plasmid
NW_SRR11088437,NW,NC_009037.1,Small-plasmid
NW_SRR12404955,NW,NZ_CP029986.1,Large-plasmid
NW_SRR12404955,NW,NZ_CP069372.1,Small-plasmid
NW_SRR12404955,NW,NZ_CP080763.1,Small-plasmid
NW_SRR13225453,NW,NZ_CP035709.1,Small-plasmid
NW_SRR13225453,NW,NZ_CP069372.1,Small-plasmid
NW_SRR13225453,NW,NZ_CP049912.1,Small-plasmid
NW_SRR13225453,NW,NZ_CP080763.1,Small-plasmid
NW_SRR13225453,NW,NC_009037.1,Small-plasmid
NW_SRR13225455,NW,NZ_CP035709.1,Small-plasmid
NW_SRR13225455,NW,NZ_CP069372.1,Small-plasmid
NW_SRR13225455,NW,NZ_CP049912.1,Small-plasmid
NW_SRR13225455,NW,NZ_CP080763.1,Small-plasmid
NW_SRR13608705,NW,NZ_CP076395.1,Large-plasmid
NW_SRR13608705,NW,NZ_CP009453.1,Large-plasmid
NW_SRR13608705,NW,NZ_CP069372.1,Small-plasmid
NW_SRR13608705,NW,NZ_CP080763.1,Small-plasmid
NW_SRR13608725,NW,NZ_AP026896.1,Large-plasmid
NW_SRR13608725,NW,CP099607.1,Large-plasmid
NW_SRR13608725,NW,NZ_CP076395.1,Large-plasmid
NW_SRR13608725,NW,NZ_CP009453.1,Large-plasmid
NW_SRR13608725,NW,NZ_CP117194.1,Large-plasmid
NW_SRR13608725,NW,NZ_CP035709.1,Small-plasmid
NW_SRR13608725,NW,NZ_CP069372.1,Small-plasmid
NW_SRR13608725,NW,NZ_CP049912.1,Small-plasmid
NW_SRR13608725,NW,NZ_CP080763.1,Small-plasmid
NW_SRR13608725,NW,NC_009037.1,Small-plasmid
NW_SRR14751605,NW,NZ_AP026896.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP069303.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP088082.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP093017.1,Large-plasmid
NW_SRR14751605,NW,CP099607.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP076395.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP083452.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP011515.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP117194.1,Large-plasmid
NW_SRR14751605,NW,CP099606.1,Large-plasmid
NW_SRR14751605,NW,NZ_CP035709.1,Small-plasmid
NW_SRR14751605,NW,NZ_CP069372.1,Small-plasmid
NW_SRR14751605,NW,NZ_CP049912.1,Small-plasmid
NW_SRR14751605,NW,NZ_CP080763.1,Small-plasmid
NW_SRR14751605,NW,NC_009037.1,Small-plasmid
NW_SRR21694251,NW,NZ_CP069372.1,Small-plasmid
NW_SRR21694251,NW,NZ_CP049912.1,Small-plasmid
NW_SRR21694251,NW,NZ_CP080763.1,Small-plasmid
NW_SRR21694251,NW,NC_009037.1,Small-plasmid
NW_SRR21802946,NW,NZ_CP035709.1,Small-plasmid
NW_SRR21802946,NW,NZ_CP049912.1,Small-plasmid
NW_SRR21802946,NW,NZ_CP080763.1,Small-plasmid
NW_SRR25018385,NW,NZ_CP069303.1,Large-plasmid
NW_SRR25018385,NW,CP063167.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP029356.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP155749.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP088082.1,Large-plasmid
NW_SRR25018385,NW,CP099607.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP029358.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP076395.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP083452.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP011515.1,Large-plasmid
NW_SRR25018385,NW,CP099606.1,Large-plasmid
NW_SRR25018385,NW,NZ_CP035709.1,Small-plasmid
NW_SRR25018385,NW,NZ_CP069372.1,Small-plasmid
NW_SRR25018385,NW,NZ_CP049912.1,Small-plasmid
NW_SRR25018385,NW,NZ_CP080763.1,Small-plasmid
WW_ERR11269302,WW,NZ_AP026896.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP069303.1,Large-plasmid
WW_ERR11269302,WW,CP090106.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP088082.1,Large-plasmid
WW_ERR11269302,WW,CP099607.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP029358.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP076395.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP083452.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP046503.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP101744.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP029986.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP011515.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP009453.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP117194.1,Large-plasmid
WW_ERR11269302,WW,CP099606.1,Large-plasmid
WW_ERR11269302,WW,NZ_CP069372.1,Small-plasmid
WW_ERR11269302,WW,NZ_CP049912.1,Small-plasmid
WW_ERR11269302,WW,NZ_CP080763.1,Small-plasmid
WW_ERR1713344,WW,NZ_AP026896.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP069303.1,Large-plasmid
WW_ERR1713344,WW,CP063167.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP029356.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP088082.1,Large-plasmid
WW_ERR1713344,WW,CP099607.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP029358.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP076395.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP083452.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP046503.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP011515.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP117194.1,Large-plasmid
WW_ERR1713344,WW,CP099606.1,Large-plasmid
WW_ERR1713344,WW,NZ_CP035709.1,Small-plasmid
WW_ERR1713344,WW,NZ_CP069372.1,Small-plasmid
WW_ERR1713344,WW,NZ_CP049912.1,Small-plasmid
WW_ERR1713344,WW,NZ_CP080763.1,Small-plasmid
WW_ERR1713344,WW,NC_009037.1,Small-plasmid
WW_ERR2592329,WW,NZ_AP026896.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP069303.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP088082.1,Large-plasmid
WW_ERR2592329,WW,CP099607.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP029358.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP076395.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP083452.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP046503.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP011515.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP009453.1,Large-plasmid
WW_ERR2592329,WW,NZ_CP117194.1,Large-plasmid
WW_ERR2592329,WW,CP099606.1,Large-plasmid
