Index	NZ_AP026896.1	NZ_CP069303.1	CP090106.1	NZ_LR743510.1	CP063167.1	NZ_CP115947.1	CP025986.1	NZ_CP119140.1	NZ_CP119142.1	CP023017.1	NZ_CP039965.1	NZ_CP115942.1	NZ_CP138516.1	NZ_CP138514.1	NZ_CP138497.1	NZ_CP029356.1	NZ_CP155749.1	NZ_CP023549.1	NZ_CP062179.1	NZ_CP049906.1	NZ_CP088082.1	NC_008826.1	NZ_CP047170.1	NZ_CP093017.1	CP099607.1	NZ_CP029358.1	NZ_CP076395.1	NZ_CP083452.1	NZ_CP033971.1	NZ_CP046503.1	NZ_CP099646.1	NZ_CP071828.1	NZ_CP101744.1	NZ_CP029986.1	NZ_CP011515.1	NZ_CP009453.1	NZ_CP117194.1	CP099606.1	NZ_CP136338.1	NZ_CP062064.1	NZ_CP149519.1	NZ_CP035709.1	NZ_CP069372.1	NZ_CP049912.1	NZ_CP080763.1	NC_009037.1
AS_SRR9261047	0.5399362	0.4449317	0.2897213	0.3185656	0.415537	0.4189416	0.3707862	0.1585897	0.1596998	0.2954788	0.3172004	0.3346465	0.3388786	0.3435457	0.2837254	0.4492402	0.4086342	0.4429124	0.1652853	0.209793	0.5203936	0.2715099	0.3575346	0.1852039	0.4943413	0.4724857	0.5079401	0.5091863	0.2093962	0.1842306	0.1610842	0.2617001	0.2426245	0.2823117	0.5015095	0.3406713	0.6163444	0.453097	0.3913992	0.1777694	0.4323676	0.6084678	0.8264824	0.8182638	0.944115	0.3487054
DW_SRR15085115	0.4304624	0.5380334	0.4138841	0.6151242	0.513503	0.4975618	0.4529141	0.1944439	0.1954909	0.3793301	0.2763573	0.4152703	0.4408049	0.4446885	0.3573673	0.6084128	0.5786204	0.4767675	0.2322993	0.2680632	0.5471422	0.3481293	0.4015261	0.3210746	0.592253	0.6131082	0.6299072	0.5057253	0.2756067	0.163434	0.220981	0.3322493	0.2599698	0.5871933	0.5800596	0.5893434	0.4908928	0.5547091	0.3956527	0.3545649	0.3893028	0.4452313	0.63354	0.6483759	0.8491035	0.4769717
DW_SRR15085116	0.4264441	0.5540364	0.4291578	0.6152411	0.5214384	0.5060548	0.4592183	0.2024836	0.2014906	0.3847444	0.2726617	0.4230283	0.4527192	0.4542491	0.364948	0.595986	0.580468	0.476025	0.2416812	0.2767697	0.5568869	0.3486164	0.4073939	0.3704948	0.5995519	0.608111	0.6196858	0.5220615	0.2820595	0.1731401	0.2240578	0.3280313	0.2666634	0.5916914	0.5850544	0.5748551	0.4900282	0.5717608	0.4196557	0.368846	0.3857476	0.4255175	0.5997418	0.7121521	0.8885852	0.5152726
DW_SRR17063163	0.2833519	0.4283874	0.3260511	0.3696838	0.4751131	0.4569902	0.3958728	0.1594539	0.1611117	0.3139679	0.2042022	0.3627341	0.3918974	0.3976077	0.3185246	0.4903355	0.430264	0.3866941	0.2116068	0.2462332	0.4877796	0.3098972	0.3339635	0.1600279	0.53497	0.5216493	0.4460027	0.4758109	0.2387526	0.1171451	0.1963499	0.290526	0.2585965	0.3202386	0.5363322	0.4375958	0.4146889	0.5237485	0.378184	0.2143916	0.2851321	0.3882881	0.3148545	0.6035711	0.8308894	0.4435032
DW_SRR18749962	0.3166141	0.509813	0.3957054	0.4589033	0.5334023	0.5056219	0.4594751	0.2088322	0.2096232	0.3905042	0.3183742	0.4186972	0.4408264	0.4430881	0.3815312	0.5623074	0.5397798	0.4717799	0.2585389	0.2979364	0.5486459	0.370138	0.4173989	0.2186239	0.593069	0.5912234	0.6239688	0.5129799	0.3072777	0.1646159	0.2382204	0.3348156	0.2350504	0.4608006	0.5923677	0.6240835	0.4084342	0.5719368	0.3557062	0.2529689	0.3607238	0.4285952	0.4420733	0.5368744	0.7660571	0.412242
DW_SRR19238510	0.2548806	0.4210864	0.3178109	0.3785825	0.4161637	0.3872191	0.3474701	0.1672188	0.1665771	0.2784663	0.3380529	0.3165345	0.3452728	0.3494558	0.2816312	0.4279522	0.4467874	0.3949379	0.1824771	0.2285719	0.4180108	0.2458528	0.3341312	0.1413423	0.4842713	0.4465208	0.6562861	0.4740939	0.2157142	0.1110458	0.1618372	0.2463581	0.2259338	0.3169658	0.4635497	0.5638625	0.3592345	0.4543603	0.3237769	0.1650508	0.3553327	0.3210661	0.7069399	0.5192564	0.8378839	0.4029949
DW_SRR21802943	0.1913665	0.3512043	0.2630078	0.2761212	0.3776023	0.3538144	0.2983415	0.1177474	0.1185993	0.2261435	0.2087592	0.2780675	0.3434297	0.3558139	0.2525615	0.3449346	0.419223	0.2777402	0.1422268	0.1613785	0.3770937	0.2356934	0.2414987	0.1444168	0.4500454	0.3712321	0.61446	0.4067529	0.1717006	0.1213429	0.1568947	0.2151688	0.200736	0.7429163	0.4288488	0.3722195	0.3428292	0.4698721	0.2887415	0.2802157	0.2236018	0.3538275	0.3448927	0.4689667	0.7855849	0.3622479
DW_SRR22105540	0.3277075	0.5147496	0.3949566	0.4567448	0.5417761	0.4926941	0.4481111	0.1634823	0.1646282	0.3612912	0.275581	0.405076	0.4604683	0.4593087	0.3705507	0.5528015	0.5176989	0.4774764	0.2384177	0.2733732	0.547114	0.3428811	0.3962797	0.1829466	0.6338321	0.5853041	0.4599579	0.5106968	0.2767506	0.1006202	0.2202415	0.3044374	0.1966686	0.3377447	0.6138164	0.3335401	0.3737025	0.6089627	0.3360967	0.209653	0.3342672	0.4629014	0.4009393	0.4309051	0.8212675	0.4040091
DW_SRR22372546	0.2303057	0.3283458	0.2331996	0.2825783	0.2978809	0.3197915	0.2640254	0.1015268	0.10215	0.1928287	0.2229779	0.2436667	0.2677267	0.26807	0.2008978	0.3178909	0.4454069	0.2947241	0.1123882	0.1478058	0.3769245	0.1940114	0.2299646	0.131189	0.4040586	0.3384826	0.6942744	0.4313847	0.1433803	0.1493308	0.10768	0.210936	0.2160721	0.4372316	0.425057	0.7036194	0.7369876	0.3606989	0.3476329	0.1656177	0.2835933	0.3275305	0.6776679	0.7670956	0.9320078	0.369407
DW_SRR6439731	0.8897603	0.6221575	0.4732348	0.5169665	0.638329	0.6016535	0.5589611	0.247667	0.2488663	0.4767197	0.3881393	0.5087525	0.5420796	0.5472397	0.4657689	0.6566766	0.5769149	0.5984312	0.3142725	0.3763843	0.6947022	0.4904695	0.516272	0.4112842	0.7009398	0.6803377	0.6622343	0.6247981	0.3578189	0.4622883	0.3028224	0.4269638	0.3412974	0.4646578	0.6870672	0.5714374	0.6889086	0.6762829	0.5328632	0.3210242	0.526637	0.5988188	0.793947	0.9097255	0.9668028	0.5597781
DW_SRR7369915	0.8318004	0.3138222	0.2332405	0.252079	0.3162038	0.3362564	0.2772346	0.1299533	0.1305775	0.2032927	0.2438551	0.2547957	0.2707752	0.2689935	0.2165783	0.3244906	0.2744582	0.3017211	0.1350485	0.1683001	0.3831567	0.2168126	0.2464324	0.1458958	0.3837466	0.3516401	0.2949771	0.4211172	0.1647059	0.1383142	0.1296652	0.2097155	0.2668666	0.173165	0.4125966	0.1936928	0.4354223	0.3906854	0.3415465	0.1657267	0.2892603	0.3220643	0.5167076	0.5325767	0.8184626	0.9986278
GW_ERR3281033	0.5413638	0.6956411	0.5028107	0.5461314	0.8581255	0.7153893	0.631348	0.1957781	0.1957165	0.5503415	0.3103671	0.6389641	0.6046898	0.6086874	0.5198658	0.647003	0.6774907	0.5599556	0.298404	0.3617229	0.6755245	0.4240997	0.4925918	0.2824418	0.7251595	0.6745097	0.7652678	0.6152335	0.3666222	0.1779065	0.2789375	0.4590675	0.3742724	0.6785586	0.6954997	0.6643403	0.5693007	0.6984382	0.5027249	0.3101879	0.4424918	0.4892102	0.6132213	0.778564	0.950577	0.4958836
GW_SRR12964613	0.3067891	0.3386924	0.2449261	0.2592764	0.6336308	0.3767916	0.3185958	0.1131997	0.1140954	0.2357318	0.1411125	0.2908447	0.4246752	0.4410775	0.3161458	0.5139518	0.3440585	0.272727	0.1246603	0.1846059	0.4388911	0.2609952	0.2270156	0.153984	0.5028382	0.5212598	0.444726	0.448126	0.1653167	0.0480265	0.1253367	0.2095201	0.2224045	0.2751102	0.4836965	0.2962039	0.4496342	0.4739512	0.4420425	0.2286146	0.2158336	0.3824298	0.4524313	0.4434182	0.8917451	0.3201289
GW_SRR13727526	0.4498798	0.664156	0.5360329	0.5942674	0.6913102	0.6489859	0.6159802	0.2828147	0.2849466	0.5454294	0.4389755	0.5704564	0.6274949	0.628296	0.5381691	0.7197431	0.6386341	0.6467357	0.3587663	0.4238952	0.7171525	0.5336478	0.5832357	0.3260677	0.7542396	0.7391112	0.5990127	0.6343573	0.4136631	0.1771356	0.3641677	0.4720425	0.3327301	0.4923366	0.726782	0.5205371	0.5256032	0.7382923	0.5065587	0.3173976	0.5537409	0.5767165	0.6133206	0.5793998	0.8755193	0.4803723
GW_SRR13727538	0.3624751	0.5923542	0.4646083	0.5147244	0.6111488	0.5661358	0.531574	0.2272737	0.2282618	0.4547342	0.3596937	0.4882725	0.5419741	0.5447946	0.4579334	0.6306503	0.5367175	0.5533944	0.2826508	0.331168	0.6415549	0.452164	0.4953487	0.2464967	0.6863065	0.6583248	0.6031226	0.5803075	0.337739	0.1395347	0.2728111	0.3924341	0.3054553	0.4201477	0.6477826	0.4492045	0.670438	0.6481317	0.4644924	0.2968879	0.4696487	0.5329753	0.6542985	0.6874585	0.9341736	0.3723303
GW_SRR15669520	0.6924202	0.6130011	0.3526667	0.3756329	0.44699	0.4504516	0.3937437	0.1647819	0.1646001	0.31502	0.349534	0.3586908	0.4013325	0.4020467	0.3157398	0.5379024	0.4492145	0.4394529	0.1877137	0.2339831	0.5100127	0.3046957	0.3633251	0.2152791	0.5375406	0.5649504	0.6030731	0.5050385	0.2313476	0.0813396	0.1739645	0.2805744	0.2489042	0.3884044	0.5291446	0.5500232	0.444164	0.5144842	0.410582	0.1921087	0.4553857	0.4172707	0.6337813	0.6755627	0.8782176	0.5900847
GW_SRR18331974	0.1009988	0.1191114	0.0725019	0.0809528	0.1241009	0.2055177	0.1392922	0.050599	0.0511742	0.0771294	0.1031528	0.1425547	0.1486348	0.1422019	0.122913	0.1195797	0.1372723	0.1132989	0.0382327	0.0947196	0.2617344	0.0830003	0.0807594	0.0876364	0.2172957	0.1255593	0.201643	0.3639069	0.0602039	0.028248	0.0445978	0.1424257	0.1758617	0.0984651	0.2472504	0.2153329	0.4104142	0.1965369	0.2993543	0.0772054	0.1130638	0.221059	0.3162876	0.5407683	0.8360376	0.2573082
GW_SRR20309467	0.5577064	0.3570435	0.256547	0.2390571	0.1975145	0.2955399	0.2095983	0.1031954	0.1037532	0.1296346	0.2180776	0.2168356	0.2616367	0.2589179	0.1634182	0.2234582	0.3016125	0.2702819	0.0688927	0.1201142	0.311286	0.1411291	0.2006105	0.1085542	0.3291497	0.2388931	0.4448274	0.422303	0.0993727	0.0739138	0.1095593	0.1706911	0.2454313	0.4049227	0.3475995	0.3073074	0.4553499	0.3150561	0.321951	0.1076282	0.3198026	0.3221118	0.5706685	0.4201254	0.9058761	0.4849063
GW_SRR21427518	0.3133566	0.4955675	0.3578061	0.3918183	0.5009391	0.4989575	0.4423607	0.155622	0.1571494	0.3525786	0.2846988	0.4049791	0.4462556	0.4489983	0.3565903	0.5129265	0.506742	0.5600695	0.1972725	0.2749703	0.5913488	0.3468714	0.3862389	0.2419066	0.5926515	0.5399864	0.6022121	0.5441929	0.2519336	0.0802379	0.1911971	0.3062921	0.2928395	0.5227301	0.5772501	0.7656848	0.6058043	0.5671852	0.4572726	0.2093769	0.4258941	0.4637094	0.7938902	0.5667442	0.9403515	0.4378952
GW_SRR26726064	0.4574607	0.4547314	0.328741	0.3563118	0.4334194	0.404355	0.3618375	0.1265397	0.1270904	0.2933377	0.3071978	0.3327975	0.3853306	0.3898925	0.3128004	0.461343	0.4538083	0.4202482	0.1588145	0.2125813	0.4954394	0.277347	0.3571598	0.1763075	0.5460516	0.4734718	0.6495707	0.4885145	0.2039884	0.0777873	0.1530445	0.2608779	0.2458527	0.3826582	0.4768857	0.5610405	0.4926753	0.5153892	0.3681589	0.1520633	0.4103152	0.3879673	0.6597614	0.4985279	0.898491	0.3901682
GW_SRR7912025	0.1945437	0.2944336	0.1996182	0.344736	0.3257734	0.3222501	0.2735658	0.0928184	0.0916339	0.2059252	0.1211283	0.2562024	0.3264274	0.3200703	0.2383156	0.2929851	0.3674687	0.2442651	0.1075603	0.183303	0.3806655	0.1632162	0.1919689	0.1388308	0.4403292	0.3081072	0.5533218	0.4769404	0.154073	0.136506	0.1013128	0.1880427	0.2667086	0.3665057	0.4022149	0.6561657	0.4435929	0.4083216	0.3514667	0.1428914	0.1614136	0.779238	0.2130766	0.5741524	0.8924907	0.4260828
NW_SRR11088437	0.789355	0.783645	0.6788708	0.7421492	0.806088	0.7579377	0.7247309	0.4289512	0.4297709	0.6638653	0.6185576	0.6779855	0.7452482	0.7471231	0.6795368	0.8174999	0.8076909	0.7727177	0.5072923	0.595832	0.8175012	0.6472915	0.7105816	0.4495507	0.980695	0.8349929	0.7512161	0.7782014	0.5558397	0.3821017	0.511554	0.593142	0.4960512	0.7120703	0.826777	0.7020749	0.689517	0.9710694	0.6465185	0.5721616	0.6821607	0.9457899	0.8222399	0.8916326	0.9550151	0.8466173
NW_SRR12404955	0.2888522	0.4241113	0.2899216	0.2886943	0.2915889	0.2859686	0.2098727	0.0950934	0.0961586	0.1382543	0.2576611	0.2099141	0.2609027	0.2567143	0.1737881	0.2891363	0.4874245	0.2469983	0.076447	0.1453564	0.3382264	0.1229306	0.188615	0.1023409	0.3686441	0.3047667	0.4558728	0.4443833	0.1131047	0.1654221	0.0748126	0.1654554	0.2518427	0.7225408	0.4044572	0.4455691	0.5209869	0.3551805	0.3498996	0.1055642	0.2598429	0.3707132	0.7460448	0.5942634	0.9201136	0.4526906
NW_SRR13225453	0.4778982	0.4480646	0.3455061	0.2948863	0.3790074	0.3907515	0.331578	0.13886	0.1375862	0.2522489	0.3436323	0.3025199	0.3346879	0.3317606	0.2661052	0.3888057	0.372024	0.3852485	0.1550505	0.2044776	0.4810706	0.2418625	0.3086149	0.1910624	0.4987513	0.4156228	0.5440431	0.4844633	0.1942449	0.1432862	0.1434377	0.2387442	0.2939043	0.2501235	0.4760405	0.3164474	0.4988019	0.4708337	0.39871	0.2270157	0.3769606	0.7138223	0.80273	0.7482667	0.9236996	0.6631667
NW_SRR13225455	0.4122021	0.3701836	0.2632802	0.2779182	0.3502213	0.3677278	0.3079926	0.1347648	0.1345485	0.2307966	0.3238424	0.2769117	0.3086194	0.3058812	0.2454487	0.3631114	0.3578992	0.3607633	0.1437557	0.1929447	0.4531555	0.2283933	0.2843057	0.1755772	0.44793	0.3897861	0.506557	0.4606444	0.1775635	0.1432155	0.137793	0.2329701	0.265576	0.2400262	0.4650002	0.2697577	0.453514	0.429226	0.3801778	0.2004302	0.3522021	0.6611807	0.7501738	0.6526735	0.8796024	0.5532753
NW_SRR13608705	0.4096218	0.5019906	0.38227	0.4145606	0.5091019	0.4876548	0.4301744	0.169378	0.1697352	0.346636	0.2890898	0.400949	0.4456826	0.4478265	0.3536211	0.532541	0.4942284	0.46806	0.2195201	0.2525309	0.5335845	0.4644988	0.389122	0.2271151	0.5826571	0.5691193	0.7532253	0.4942344	0.2519845	0.1270568	0.2200516	0.3230758	0.2925121	0.438785	0.5800825	0.6996677	0.5077516	0.5501021	0.425833	0.2353518	0.4341293	0.4546427	0.677824	0.5933137	0.8974969	0.4852046
NW_SRR13608725	0.6970223	0.5062363	0.3663944	0.3871878	0.5222591	0.4903382	0.4309067	0.1705125	0.1707714	0.3385445	0.3443738	0.3986431	0.4796596	0.4738216	0.3671232	0.5185711	0.4856031	0.4634291	0.2055553	0.2882146	0.5710158	0.5773534	0.3785596	0.2489509	0.6267101	0.5413005	0.775081	0.5568374	0.2457623	0.2418765	0.2225788	0.3101451	0.3288471	0.4745816	0.5892079	0.7645058	0.6340252	0.5841174	0.487187	0.3927352	0.4312003	0.7429118	0.6864367	0.9120287	0.9455352	0.7475838
NW_SRR14751605	0.8863019	0.6896138	0.4282243	0.5144522	0.5285733	0.5046999	0.4458093	0.1943572	0.1957068	0.3514464	0.3786341	0.4150435	0.5080587	0.5072761	0.3793976	0.4932167	0.5687214	0.4679403	0.2079476	0.317686	0.6069773	0.3469015	0.3861523	0.6222914	0.7356516	0.5194995	0.6036076	0.6267889	0.2602758	0.4006886	0.2171139	0.3048172	0.3407594	0.5816583	0.6595272	0.5554127	0.7510127	0.6965589	0.5132957	0.3820516	0.4695426	0.8370963	0.7844119	0.9447241	0.957678	0.6546355
NW_SRR21694251	0.4068632	0.4210258	0.2964177	0.3416854	0.4055565	0.4075598	0.3467329	0.1812759	0.1789525	0.2675399	0.3485836	0.3163635	0.342115	0.345828	0.2854221	0.3968274	0.4272268	0.3907335	0.1906471	0.2366953	0.4497488	0.2756754	0.3249943	0.1971635	0.4635514	0.4284031	0.3639663	0.4753924	0.2215891	0.1980093	0.190902	0.2640341	0.330307	0.269496	0.4851279	0.2955097	0.4806942	0.4585777	0.3907696	0.2260709	0.3756659	0.4364617	0.7101892	0.6211416	0.8280135	0.6398401
NW_SRR21802946	0.2233843	0.3420689	0.2525449	0.2675724	0.3333611	0.3620133	0.2974342	0.127831	0.126761	0.219484	0.282863	0.2828244	0.3101398	0.3143413	0.2352025	0.3362104	0.3217094	0.3356703	0.1355241	0.1806592	0.3932921	0.2249201	0.2602206	0.1619945	0.4339547	0.3646028	0.3497785	0.4258632	0.1649065	0.0745016	0.1346925	0.2217687	0.2143112	0.2220337	0.4375402	0.2691826	0.396704	0.4129097	0.3188029	0.2878396	0.3367611	0.6517931	0.5553159	0.7699212	0.8216581	0.4485742
NW_SRR25018385	0.551004	0.6090227	0.4814521	0.5674782	0.6167206	0.5574684	0.5145292	0.2006066	0.19942	0.4310308	0.4216121	0.4644006	0.5585874	0.5600465	0.4493146	0.6122956	0.6144989	0.5667992	0.2768219	0.3444057	0.642792	0.4193036	0.4867353	0.2494179	0.7454904	0.6433036	0.668336	0.6080139	0.3329091	0.1412659	0.2701584	0.3662814	0.2843963	0.5324013	0.6852817	0.556682	0.5436095	0.7269979	0.4857669	0.2961248	0.4898546	0.9164389	0.715879	0.8516953	0.9179833	0.5638348
WW_ERR11269302	0.8384929	0.8596276	0.6431578	0.4885363	0.5819002	0.5678968	0.514969	0.2569201	0.2529273	0.4187757	0.3227961	0.4797891	0.5035391	0.5054912	0.407669	0.5986905	0.5888513	0.5484277	0.2469939	0.4583417	0.6172933	0.363717	0.4851441	0.2337084	0.6633533	0.623714	0.8208066	0.7523811	0.4191996	0.834806	0.2335764	0.3543351	0.6306603	0.6229786	0.6112353	0.7605376	0.8028328	0.6398793	0.4597981	0.2552291	0.4706993	0.4778858	0.8035104	0.9733593	0.9946743	0.5049517
WW_ERR1713344	0.895393	0.6571262	0.4544864	0.5007384	0.6187617	0.5798059	0.5309226	0.2726734	0.2769307	0.4429656	0.3301014	0.481543	0.5304933	0.5317883	0.4421346	0.6355211	0.5732152	0.573265	0.2845846	0.3504381	0.6732943	0.4583264	0.4789467	0.270931	0.7073261	0.6662878	0.7002326	0.6486357	0.3281751	0.7251123	0.2757115	0.3908486	0.3467456	0.5224813	0.6669319	0.5624083	0.8182881	0.6706954	0.5168216	0.3148829	0.5185928	0.6686075	0.7791194	0.9467424	0.9759631	0.6947262
WW_ERR2592329	0.6447645	0.7560124	0.4588399	0.4553666	0.5743063	0.5597262	0.5169445	0.4001244	0.3998466	0.4345503	0.3821208	0.4722498	0.4967451	0.501803	0.4279525	0.5924374	0.5670567	0.5430879	0.277874	0.4007176	0.6516918	0.3858876	0.4813986	0.3924566	0.6678718	0.6152136	0.7844414	0.8886486	0.3333822	0.8480837	0.2587876	0.3673506	0.400599	0.5349124	0.6219215	0.6761996	0.8311551	0.6296471	0.4859278	0.3391282	0.4904489	0.5198565	0.7745931	0.9749501	0.9833837	0.5902637
WW_ERR4678576	0.8222889	0.8820744	0.5972127	0.6795365	0.7081901	0.674536	0.6407315	0.4715424	0.4723515	0.5693387	0.5470229	0.5999825	0.6435245	0.645061	0.5605596	0.7321608	0.7116011	0.695311	0.3853845	0.5722224	0.761393	0.5341933	0.6349669	0.4483854	0.8161473	0.7466897	0.8254806	0.9411692	0.443789	0.774748	0.3735744	0.4854673	0.4873635	0.6766922	0.7373731	0.7991678	0.9256907	0.7752742	0.5779727	0.4162464	0.6497824	0.8825249	0.907743	0.9889828	0.993112	0.6346498
WW_ERR9855099	0.8023776	0.6241574	0.4190275	0.4488573	0.5647299	0.5333401	0.4813505	0.2359702	0.2388757	0.3948104	0.3095606	0.4390846	0.4816005	0.4859196	0.3940134	0.5832736	0.5059636	0.5337726	0.2439831	0.3042328	0.6214406	0.4045682	0.4385783	0.2259658	0.6474088	0.614861	0.6615588	0.6046575	0.287102	0.5937164	0.2285865	0.3484763	0.327248	0.4149747	0.6207071	0.4993736	0.7886476	0.6105214	0.4819401	0.2752882	0.4890268	0.6923854	0.8338891	0.919698	0.9663057	0.5414032
