Plasmid_ID	Length	ORF_Count	ARG_Count
NZ_CP015143.1	1549	2	0
NZ_CP034756.1	108486	124	1
NZ_CP072218.1	4148	8	0
NZ_CP036109.1	7168	10	0
NZ_CP049755.1	2683	4	0
NZ_CP072551.1	108848	121	0
NZ_CP010363.1	139941	164	5
NC_004955.1	10899	14	0
NC_020822.1	25335	27	0
NZ_KX009061.1	67677	99	0
NZ_CP022926.1	258210	283	11
NZ_MK295832.1	107505	115	4
CP034061.1	57818	81	0
NZ_CP068194.1	1889	2	0
NC_001767.1	4439	5	1
NZ_MT559986.1	160789	195	6
NZ_CP044471.1	6354	8	0
NZ_CP028283.1	49440	55	0
NZ_CP016764.1	277592	282	4
NZ_MT720904.1	8789	8	1
NZ_CP068413.1	4469	5	0
NZ_CP031201.1	27747	33	0
NZ_LR135354.1	11424	11	0
NZ_LR890678.1	1240	1	0
AP019790.1	13203	18	0
NZ_KY454616.1	6141	8	0
CP061601.1	74122	116	1
CP065237.1	717376	614	0
NZ_CP045150.1	100984	109	0
CP024475.1	82833	101	3
NC_019253.1	6037	8	0
NZ_CP051419.1	3372	6	0
NZ_CP061064.1	66330	84	10
NZ_CP019846.1	30726	46	0
NZ_CP032685.1	1460465	1361	2
NZ_MK962689.1	3002	6	0
CP033567.1	2727	6	0
NZ_AP017634.1	6058	3	0
NZ_CP019896.1	3904	3	0
NZ_CP035996.1	538903	508	0
NZ_CP018920.1	111810	123	0
CP042902.1	113908	126	6
NC_021572.1	9754	11	0
NZ_KM583813.1	3397	3	0
NZ_CP042293.1	35046	46	0
NZ_AP024209.1	2444	4	0
NZ_CP033974.1	3011	4	0
NZ_KP842560.1	23269	33	1
NZ_CP027197.1	17059	15	0
NZ_CP024468.1	115922	131	5
NZ_LR134434.1	4882	5	0
NZ_CP013592.1	433056	429	0
NZ_CP036135.1	162314	165	0
NZ_CP041039.1	7553	8	0
NZ_KU934208.1	60757	77	0
CP052790.1	36667	50	1
NZ_CP068288.1	342447	389	6
NZ_CP072264.1	26618	35	0
NZ_CP072249.1	43921	60	0
NZ_CP032495.1	118265	121	2
NZ_CP068421.1	109107	120	0
NZ_CP051339.1	4251	6	0
NC_024955.2	109191	123	1
NZ_MW124302.1	59142	65	0
NZ_CP043767.1	331049	368	5
CP019144.2	186588	209	0
NZ_CP045322.1	30727	34	0
CP052283.1	9294	12	0
CP051950.1	35307	44	0
CP050566.1	668814	685	0
NZ_LR135483.1	221062	251	2
CP057157.1	42555	56	0
NZ_CP050767.1	3373	4	0
NZ_CP046063.1	39649	45	0
NZ_CP062862.1	112076	127	3
NZ_CP028168.1	119076	137	6
NZ_CP022252.1	2390	3	0
NZ_CP030345.1	152715	176	20
NC_017422.1	17483	27	0
NC_019074.1	11744	11	1
CP066332.1	1749	1	0
NZ_CP012538.1	6009	10	0
NZ_CP069392.1	148194	207	0
NZ_LN794248.1	300375	344	12
NZ_CP021271.1	56208	58	0
NZ_CP011434.1	4248	7	0
NC_010901.1	64980	67	0
CP031745.1	10967	12	0
NZ_CP038378.1	99810	119	0
NZ_CP055296.1	133766	164	3
NZ_MG591701.1	91597	111	7
NZ_CP014597.1	315806	334	0
NZ_KY565558.1	101065	113	2
NZ_CP024817.1	96990	109	0
NZ_CP059774.1	41278	52	0
NZ_CP072946.1	417086	447	4
HG796843.1	3031	4	0
NZ_CP058165.1	206287	241	4
NC_017233.1	22901	19	0
NZ_CP040584.1	2020	2	0
NZ_CP069417.1	1680	1	0
NZ_AP023334.1	266554	313	0
NZ_CP026584.1	156099	193	3
NZ_CP027138.1	90735	133	3
NZ_LR890379.1	3223	5	0
NZ_CP066838.1	95616	105	0
NZ_KR259132.1	10359	12	1
NZ_CP044204.1	60896	64	5
NZ_CP009711.1	68525	82	0
CP056811.1	133729	135	0
NZ_KY362372.1	64559	71	0
NZ_CP057658.1	110777	129	0
NZ_LR882053.1	113096	142	12
CP015514.1	925374	1110	0
NZ_CP040538.1	5596	9	0
NZ_CP060000.1	137420	155	0
CP052429.1	6890	10	0
NZ_CP033159.1	146286	165	5
LC521839.1	92204	104	9
LR990732.1	73155	85	0
NZ_CP070547.1	3861	4	0
NZ_LR890586.1	4439	5	0
LR962045.1	48415	54	0
NC_021657.1	2908	6	1
NZ_MN251860.1	2413	2	0
NZ_CP054703.1	266388	292	0
NZ_MK388402.1	17220	21	0
CP058043.1	8136	9	0
NZ_CP026165.1	111252	117	0
NZ_CP029743.1	104555	136	4
CP030597.1	27067	34	1
NZ_LR215002.1	19361	26	0
EU219534.1	127212	151	8
NZ_CP053283.1	68199	86	0
NZ_CP019309.1	184542	205	0
NZ_CP021483.1	9351	13	0
NZ_CP061351.1	200067	215	0
NZ_CP035132.1	52024	44	0
NZ_CP070052.1	2042	2	0
NZ_CP077207.1	298988	334	13
NZ_KM107843.1	4452	5	0
NZ_CP058654.1	89623	105	0
NZ_CP042253.1	150432	159	1
CP057283.1	85551	89	0
NZ_CP024825.1	46161	58	0
NZ_LC506718.1	99033	111	3
NZ_MW363914.1	107192	126	1
NZ_CP045351.1	1317907	1143	0
NZ_AF411480.1	32647	32	0
CP030478.1	44863	48	1
NZ_CP044962.1	126750	149	3
NZ_CP039446.1	321890	327	7
NZ_LT667501.1	6126	5	0
CP057803.1	48915	62	0
NZ_CP026274.1	235655	276	1
NZ_CP024187.1	58284	51	0
NC_019188.1	7771	7	0
LR962847.1	97574	111	3
CP052497.1	9294	12	0
LR961937.1	51570	57	0
NZ_CP072140.1	18992	23	0
NZ_CP056386.1	252882	279	0
NZ_CP045750.1	51115	62	0
NZ_MN419434.1	102184	116	2
NZ_CP049732.1	661136	631	0
NZ_MK312242.1	119209	155	2
NZ_CP050773.1	34285	36	2
NZ_CP015991.1	76251	87	5
NZ_CP018873.1	39508	50	0
CP057821.1	4074	4	0
NZ_CP022320.2	32220	36	0
NZ_AP022029.1	2811	2	0
NZ_CP077309.1	606597	546	0
NZ_CP029457.1	68982	96	0
NZ_CP024142.1	66596	80	0
NZ_LR215007.1	15853	21	0
CP056316.1	88905	101	4
NZ_MF415608.1	60125	74	1
NZ_CP065844.1	4096	8	0
NZ_CP010743.1	78189	61	0
NZ_CP073867.1	6455	9	0
NZ_CP047266.1	108727	77	0
CP051998.1	27073	35	1
NZ_CP063346.1	4664	5	0
NZ_CP042394.1	32539	35	0
NC_006323.1	137036	145	0
NC_012858.1	660973	639	0
NZ_CP032077.1	6635	8	4
NZ_CP046054.1	30622	28	0
NZ_AP014708.1	50170	67	0
NZ_CP026237.1	235027	237	0
LR962312.1	70709	78	1
NZ_CP022365.1	200555	148	0
NZ_LR135430.1	16203	19	0
NZ_CP012651.1	49656	59	0
NZ_CP015178.1	4227	4	0
NZ_CP010592.1	77876	64	0
CP057348.1	119787	131	7
NZ_CP066080.1	40880	47	0
CP048872.1	5153	5	0
NZ_KY202458.1	26781	37	1
NZ_AP017934.1	4315	5	0
NC_002638.1	49503	62	0
AP022441.1	5711	9	0
NZ_CP038274.1	47309	64	0
NZ_CP053770.1	1702	2	0
NC_005308.1	7853	9	0
NZ_CP010891.1	27273	32	1
NZ_CP018905.1	95152	109	0
NC_013311.1	4439	5	1
NZ_CP041962.1	34066	41	0
NC_005128.1	48508	62	0
CP020341.1	47688	61	1
NZ_CP061766.1	3256	4	0
NC_022542.1	41950	46	0
NZ_CP034590.1	145704	155	6
NZ_CP050408.1	5432	7	0
NZ_CP022602.1	19701	32	0
NC_006827.2	67673	75	1
NZ_CP072170.1	396698	386	0
NZ_CP062805.1	425364	398	0
NZ_CP071302.1	69600	74	1
NZ_CP036355.1	218649	219	0
NC_017624.1	37581	43	0
KU351673.1	52210	56	3
NZ_CP069527.1	1158	3	0
NZ_MW598232.1	99717	110	0
CP000979.1	163884	154	0
NZ_CP056912.1	3123	5	0
NZ_CP017144.1	70968	80	0
NZ_CP050105.1	693075	623	0
CP065641.1	10313	13	0
NZ_CP018727.1	47184	58	0
NZ_CP056855.1	188591	220	0
NZ_CP055677.1	94009	107	0
NZ_CP057035.1	227199	246	0
NZ_LR881937.1	121756	117	0
NZ_CP036108.1	9900	11	0
NZ_LT571451.1	2366	2	0
NZ_CP030938.1	84240	100	0
NZ_CP034757.1	28640	35	0
NZ_LT598658.1	129881	141	1
NZ_CP049955.1	54471	64	7
NZ_CP024551.1	147932	166	0
AP022648.1	13909	12	0
NZ_CP036147.1	12231	14	0
NZ_CP058169.1	61064	61	0
NZ_MN101858.1	284309	329	7
NZ_CP071511.1	3856	4	0
AP024496.1	144031	149	0
NZ_CP018340.1	81939	106	0
MN366356.1	58844	69	5
NZ_CP027389.1	68062	77	0
NZ_CP066196.1	83570	103	0
NZ_CP011019.1	207265	213	0
CP056500.1	108816	127	0
NC_011253.1	33213	44	0
NZ_CP077434.1	3336	3	0
NC_009807.1	10066	11	0
NZ_CP025126.1	7049	8	0
NZ_CP033867.1	1226	2	0
CP049391.1	20639	22	1
NC_010940.1	3533	4	0
NZ_CP071967.1	3837	3	0
CP057407.1	4072	6	0
NZ_CP040729.1	112707	121	0
NC_017237.1	33903	27	0
NZ_CP015996.1	93029	108	1
NZ_CP020329.1	50105	55	0
NZ_CP063497.1	8908	8	0
NZ_CP027191.1	35855	45	0
NZ_KR259133.1	4656	5	0
NZ_LR217731.1	26513	15	0
CP013100.1	106908	96	0
CP073293.1	139526	172	0
NZ_KU963390.1	55161	78	0
AP024125.1	74684	101	3
LN554848.1	91951	100	0
KC734562.1	6219	7	0
NZ_MK764024.1	105498	117	1
NZ_CP042247.1	142705	146	0
NZ_KX833210.1	40835	53	0
CP057834.1	108954	124	0
NZ_MK858222.1	4016	2	0
NZ_LR890247.1	4369	5	0
NZ_CP075318.1	105939	125	0
NZ_MG299133.1	109845	125	4
NC_017169.1	96210	100	0
NZ_CP058115.1	4667	4	0
NZ_CP060862.1	49122	62	1
NZ_CP043668.1	4593	4	0
NZ_CP024568.1	4510	8	0
NZ_CP024557.1	217685	275	10
NZ_AP019756.1	61451	63	0
NZ_CP040922.1	143714	158	2
NZ_CP023809.1	202553	224	2
NZ_LR890738.1	129925	133	0
NZ_CP066086.1	57214	56	2
NZ_CP007735.1	89770	90	0
NZ_CP066425.1	12538	15	0
NZ_CP061377.1	486963	595	9
NZ_CP047184.1	50818	64	0
NZ_CP014115.1	29612	28	0
CP057060.1	38481	50	0
NZ_CP051739.1	172627	189	1
CP026189.1	171306	185	10
NZ_CP080299.1	128928	158	2
AP024953.1	5510	7	0
NZ_AP023416.1	860917	856	1
NZ_CP021709.1	186758	215	4
NZ_MN577015.1	239910	272	11
NC_013930.1	240256	292	0
NZ_CP009603.1	51512	82	0
CP057457.1	6811	8	0
NZ_CP009543.1	181707	190	0
NZ_CP017600.1	35548	40	0
NZ_CP038495.1	92707	88	0
CP053763.1	8401	11	3
NZ_CP059775.1	27191	32	1
NZ_CP058942.1	99664	113	3
NC_008246.1	5182	10	0
NZ_CP054028.1	1610741	1503	0
NZ_LR890182.1	135529	139	0
NZ_CP068101.1	2581	3	0
NZ_CP068769.1	6498	9	0
NZ_CP009021.1	64920	68	0
NZ_CP026225.1	178635	213	8
NZ_CP077776.1	86980	106	6
NZ_AP022017.1	113050	128	4
NZ_CP053038.1	53270	69	0
NZ_CP015792.1	32294	27	0
NZ_AP024206.1	46161	58	0
NZ_CP012919.1	156480	120	0
NZ_CP029990.1	121189	130	0
NZ_MH234509.1	47474	61	0
NZ_CP027054.1	197872	209	4
NZ_CP034042.1	5010	6	0
NZ_CP034347.1	76091	61	0
NZ_CP017958.1	34572	37	0
NZ_CP012005.1	148955	154	1
NZ_CP022542.1	154467	125	0
NZ_LR135363.1	1928	1	0
NZ_CP025418.1	9813	14	0
NZ_CP045614.1	8331	12	0
NZ_CP025784.1	12328	18	0
CP056948.1	65869	75	0
NZ_CP060114.1	12011	12	0
NZ_CP034041.1	65202	87	0
NZ_MG948333.1	87860	96	1
NZ_CP009293.1	335704	341	0
NZ_CP069845.1	53443	76	18
NC_002518.1	2534	4	0
NZ_CP010600.1	226931	207	0
NZ_CP074579.1	40409	47	0
NZ_CP046423.1	2043	2	0
NZ_CP045663.1	5733	7	0
NZ_CP056411.1	8608	8	0
NZ_CP054267.1	57419	70	2
CP049311.1	339705	372	4
NZ_HG813239.1	28315	30	0
NC_001764.1	7837	9	0
NZ_CP054001.1	51017	68	0
HG796428.1	2084	3	0
NZ_CP018792.1	24958	31	0
CP052745.1	1734	2	0
NZ_CP074417.1	67047	100	0
NZ_CP045345.1	538462	501	0
NZ_CP014411.1	27068	35	1
NZ_CP007256.1	91729	105	0
NZ_CP051740.1	9703	12	1
CP023651.1	5114	5	0
NZ_CP053907.1	89411	104	0
NZ_CP034680.1	3897	6	0
NZ_CP033812.1	11269	14	0
NZ_CP028864.1	29563	41	0
NZ_CP011506.1	113484	119	0
NZ_CP065198.1	2362	2	0
NZ_CP056172.1	4804	6	0
LR962324.1	65146	80	0
LR961927.1	66341	75	0
NZ_CP049841.1	5630	6	0
NZ_CP008815.1	66548	76	0
LR962061.1	61161	68	0
NZ_MK973077.1	7427	10	2
NC_023901.1	2683	4	0
NZ_CP036443.1	207854	221	2
NZ_CP075855.1	7684	8	0
NZ_CP056825.1	4386	7	0
CP056790.1	3133	3	0
NZ_CP034788.1	254365	283	7
NZ_CP040920.1	97266	109	0
NZ_AP023412.1	25755	40	0
NZ_CP056197.1	2426	3	0
CP056984.1	1552	2	0
NZ_CP027504.1	36024	46	1
CP056317.1	55918	70	8
NZ_CP025871.1	52054	65	0
NZ_CP028239.1	26197	31	0
NZ_CP040502.1	20726	23	0
NC_014826.1	15907	20	0
NZ_CP031381.1	24268	33	1
NZ_CP067253.1	6200	7	1
NZ_CP055601.1	112380	123	3
NZ_CP046477.1	16100	21	0
NZ_CP066437.1	57014	62	0
NC_017206.1	83590	95	0
LT174530.1	61826	79	0
NZ_KU043115.1	124378	134	8
NZ_KY513281.1	20525	21	2
NC_017543.1	366576	337	0
NC_014651.1	71617	71	0
NZ_CP068245.1	154716	180	1
NZ_CP015805.1	19566	22	0
CP054332.1	4091	3	0
NZ_CP019244.1	71430	85	0
NZ_CP069999.1	82270	89	0
CP056543.1	51672	60	0
NZ_CP024369.1	9535	10	0
CP042641.1	95014	141	0
CP052800.1	35379	52	0
NZ_CP059406.1	29366	30	0
NZ_CP067254.1	2101	2	0
NZ_AP024171.1	24653	29	1
NZ_CP062900.1	141262	162	0
NZ_CP054029.1	515224	471	0
NZ_CP047717.1	33171	41	3
NZ_CP051616.1	134872	152	6
NC_010903.1	2229	5	0
NZ_MW390530.1	49148	71	0
CP074282.1	116593	148	0
NC_019145.1	7609	7	0
NZ_CP028802.1	6425	7	0
NZ_CP063861.1	89965	110	6
NZ_CP033026.1	177577	169	0
CP073600.1	92959	91	0
NZ_CP069243.1	173319	198	0
NC_009470.1	37415	41	0
NC_019739.1	146045	106	0
NZ_CP062998.1	114497	140	0
LR962798.1	97284	103	1
NZ_CP031408.1	30883	52	0
NZ_CP007664.1	94889	110	0
NC_019065.1	135803	168	4
NZ_CP021857.1	106331	130	3
CP077278.1	2089	3	0
CP057159.1	3525	4	0
NZ_MN086778.1	124991	137	9
NZ_CP029127.1	78352	81	0
NZ_CP008907.1	111227	117	0
NZ_CP073870.1	6455	9	0
NZ_CP043516.1	56515	74	3
NZ_CP024844.1	13781	19	1
NZ_CP044989.1	380021	327	0
NZ_LR999862.1	98666	112	1
NZ_CP059680.1	46167	49	1
NZ_LR135257.1	66958	77	0
NZ_CP062063.1	160419	185	0
CP000983.1	27476	40	0
CP033558.1	91208	152	7
NZ_MH785224.1	4498	4	1
NZ_CP049946.1	140231	35	0
NZ_CP070925.1	50323	62	3
NZ_CP043512.1	142503	184	0
NZ_MF062091.1	2669	3	0
NZ_CP015844.2	95598	91	0
NC_019297.1	3690	5	0
NZ_KU950310.1	111158	113	0
NC_005703.1	3476	2	0
NZ_CP041956.1	74945	91	7
NC_015756.1	18992	24	0
NZ_CP036129.1	97153	104	0
NZ_CP022264.1	148077	153	0
NZ_CP038814.1	35123	40	0
CP060164.1	95580	107	2
NZ_CP029067.1	63713	68	0
NZ_LT985210.1	127142	140	0
NZ_CP037748.1	42332	47	0
NZ_CP045763.1	117406	124	5
NZ_AP024176.1	110494	125	0
NZ_CP056436.1	107037	115	0
NZ_CP022274.1	159655	199	0
NZ_CP014172.1	23294	26	0
NZ_CP049244.1	1272887	1114	0
NZ_AP024158.1	2139380	1705	0
CP058054.1	44007	57	5
NZ_CP012461.1	200151	231	1
NZ_CP037832.1	47546	72	0
NZ_MH522715.1	6244	10	0
NZ_CP019853.1	38841	35	0
NZ_CP024360.1	26601	31	0
NZ_CP010619.1	158154	182	0
NZ_CP072182.1	38050	39	0
NZ_CP039278.1	28751	42	0
NZ_CP050392.1	70712	98	0
NZ_LR882051.1	94955	108	6
NZ_KU980950.1	98832	117	1
NZ_LC485173.1	84497	93	0
CP012867.1	67516	69	0
NZ_CP048619.1	106642	110	0
NZ_CP037807.1	136294	178	0
NC_013852.1	102242	127	0
NZ_CP080020.1	3734	7	0
NZ_CP056553.1	163659	177	0
NZ_CP069544.1	80965	84	0
NZ_CP072391.1	7335	11	0
NZ_CP038140.1	138950	148	7
NZ_CP013273.1	25529	47	0
NZ_CP054367.1	3090	4	0
NZ_CP032150.1	23295	30	0
NZ_CP018130.1	71104	83	0
NZ_CP039708.1	54045	56	0
NZ_KU892126.1	3875	4	0
NZ_MN657111.1	6579	7	0
NC_022880.1	38528	37	0
NZ_CP029776.1	187951	149	0
CP054463.1	2100	2	0
NZ_CP031206.1	5609	7	0
NZ_CP036022.1	9651	10	0
NZ_CP036110.1	2741	2	0
NZ_CP040512.1	47104	53	0
NZ_CP026018.1	76297	85	12
NZ_LT984809.1	506859	546	0
NZ_HG739084.1	54227	66	1
NZ_CP013756.1	63067	66	0
NZ_CP022266.1	63484	72	0
MN536506.1	59194	69	0
NZ_CP037907.1	28942	36	1
NZ_MG288680.1	293643	304	9
LR962398.1	59755	60	0
NZ_MK376344.1	2914	4	0
NZ_LR890273.1	92830	119	0
NZ_CP021547.1	45740	52	5
CP057845.1	95217	96	0
NZ_CP018829.1	13141	15	0
NZ_CP049973.1	2883	5	0
NZ_CP028114.1	6673	9	0
NZ_CP017464.1	115760	123	0
NZ_CP061383.1	5488	6	2
NZ_KX214670.1	34403	46	0
NZ_CP061085.1	131020	113	0
NZ_CP011066.1	3373	4	0
NZ_AP024271.1	228111	291	0
NZ_CP052091.1	2053896	1613	0
CP039630.1	95589	121	0
NZ_CP035834.1	85171	97	0
NZ_MT407547.1	261528	284	10
NZ_LT985300.1	92968	102	1
NZ_CP013533.1	352129	343	0
NZ_CP030940.1	257394	284	23
NZ_CP040252.1	35282	50	0
NC_011151.1	80610	75	0
NZ_CP068579.1	13583	14	0
NZ_CP071217.1	43187	44	0
NZ_CP035829.1	83544	98	0
NZ_CP068062.1	4440	4	1
NZ_AP018744.1	51983	68	6
NZ_CP024792.1	327173	277	0
NC_018611.1	56473	62	0
NC_007961.1	121408	131	0
NC_013384.1	6794	9	0
NZ_CP012164.1	8452	10	0
NZ_CP078135.1	27591	30	0
NZ_CP029244.1	139629	140	5
NZ_CP058980.1	87893	130	0
NZ_CP066474.1	194067	218	1
CP063527.1	12117	15	0
NZ_MH844525.1	101189	112	0
NZ_KJ158441.1	4268	5	0
NZ_CP056723.1	6974	9	0
NC_006462.1	256992	264	0
NZ_CP024802.1	2336	2	0
NZ_CP047123.1	37669	43	0
NZ_MT074684.1	23710	32	0
NZ_CP042547.1	173103	199	0
NC_014015.1	5031	6	1
NZ_CP068289.1	1699	2	0
NZ_CP061388.1	13636	17	2
NZ_CP011665.1	529571	537	0
NZ_CP017574.1	364037	359	0
NC_009788.1	70609	88	0
NZ_MN626601.1	91490	100	5
NZ_CP079968.1	2144	3	0
NZ_MK673546.1	97614	113	2
NZ_KM276081.1	4229	5	0
NZ_CP038599.1	3223	4	0
LR890578.1	88750	84	0
NZ_CP046901.1	7852	10	0
NC_008036.1	28543	32	0
NZ_CP027185.1	105128	110	0
NZ_CP044066.1	249232	257	0
NZ_CP035976.1	357042	371	0
NZ_CP030366.1	66674	56	0
NZ_MT269829.1	108052	138	1
NZ_CP059433.1	40588	58	0
NZ_CP074706.1	8909	8	0
NZ_CP069829.1	39709	45	3
CP050512.1	1647834	1548	1
NZ_CP015084.1	61707	74	0
CP034059.1	217451	255	0
NZ_CP034167.1	136645	136	0
NC_004822.1	4226	4	0
NZ_CP007135.1	98067	113	0
CP025983.1	140420	165	0
NZ_CP040299.1	143905	114	0
NZ_CP006749.1	140938	146	0
CP057089.1	45753	57	0
NZ_CP065782.1	3875	4	0
NZ_MT077885.1	74966	90	1
NZ_MG773376.1	251657	273	8
NC_017213.1	2061	3	0
NZ_CP065465.1	139648	179	5
NZ_MH594477.1	145294	170	4
NZ_AP014686.1	210438	227	0
NZ_CP020923.1	116677	150	0
NZ_AP024261.1	24567	24	0
NZ_CP066145.1	48488	69	0
NZ_CP068186.1	7913	13	0
CP076294.1	47378	50	0
NZ_CP043631.1	40707	24	0
NZ_CP036093.1	439317	361	0
NZ_CP018096.1	534877	498	0
NZ_CP042411.1	37278	43	0
NZ_CP068691.1	206263	219	9
NZ_AP014650.1	189354	192	5
NZ_CP015237.1	164725	178	0
NC_004843.1	2308	2	0
NZ_MH917284.1	105977	135	7
NZ_MK533136.1	6219	7	1
NZ_CP047844.1	20730	23	1
MF554641.1	209357	226	5
NZ_CP042965.1	29057	34	0
CP061558.1	107550	139	0
CP008701.1	186323	200	0
NZ_KU922754.1	57059	72	0
NZ_MN661403.1	119810	131	0
NZ_CP010220.1	57582	75	0
NZ_LR135264.1	4408	7	0
CP074641.1	136490	144	0
NZ_CP030755.1	223569	229	0
NZ_CP069857.1	5430	7	0
NZ_CP017221.1	147225	167	5
NZ_CP065749.1	370426	386	0
NZ_CP020430.1	20536	27	0
NZ_CP012540.1	5511	6	0
NZ_CP073018.1	118712	126	0
CP056504.1	3354	4	0
NZ_MT230277.1	1430	3	0
NZ_CP063929.1	190929	236	10
NC_017073.1	73380	100	0
NZ_CP080137.1	49201	62	4
NZ_LR135311.1	27647	37	0
NC_019376.1	37317	44	0
NZ_CP061635.1	134108	133	2
NC_003078.1	1683333	1554	1
NZ_CP079641.1	4890	6	0
NZ_CP024403.1	13388	13	0
CP012893.1	7010	11	0
NZ_MK181562.1	107705	122	3
NZ_CP029547.1	79815	92	0
NZ_CP053949.1	480092	388	1
NZ_AP022447.1	278483	335	0
NZ_CP067240.1	2295	2	0
LR962637.1	56239	62	2
NZ_CP077724.1	5047	7	0
NZ_LT635654.1	4298	5	0
NZ_CP048352.1	143891	165	0
NZ_CP028322.1	96272	114	4
NZ_CP064765.1	3415	3	0
NZ_CP021076.1	181392	193	0
NZ_CP047582.1	1506	2	0
NZ_CP050713.1	106652	125	5
CP056802.1	79649	84	0
NZ_CP020062.1	152697	151	4
NZ_CP033221.1	237026	259	0
NZ_LR135347.1	11924	15	0
NZ_CP069858.1	3005	4	0
NZ_CP051745.1	80332	89	0
NZ_MN200128.1	215723	229	0
NZ_MK715471.1	160910	164	0
NZ_CP045346.1	120832	123	0
NC_014213.1	347854	344	0
NZ_LT635662.1	3546	5	0
NZ_CP066188.1	3421	4	0
NZ_MN476093.1	60381	78	0
NZ_CP053306.1	13585	12	0
NZ_CP054576.1	41251	49	0
NZ_CP010154.1	78557	79	5
CP031744.1	110967	122	0
NZ_CP013345.1	421025	388	0
NZ_CP002704.1	7800	8	0
HG796794.1	2980	3	0
NZ_MN937241.1	278517	313	17
CP056845.1	46419	58	0
NZ_LT222315.1	143614	161	0
NZ_CP007807.1	32617	33	0
NZ_CP022318.1	47134	54	0
NZ_CP069553.1	1664	1	0
NZ_CP029847.1	106705	130	0
NZ_CP064427.1	58011	79	0
NZ_KX254343.1	33307	41	0
NZ_LT795503.1	223020	241	4
NZ_CP046372.1	55632	58	0
NZ_MH399264.1	329420	366	13
NZ_CP042498.1	2495	3	0
NZ_MN807688.1	10823	13	3
NC_007772.1	70480	74	0
NZ_CP014970.1	94014	115	0
NC_004652.1	7302	6	0
NZ_CP045445.1	2989	3	1
NZ_LT985270.1	90206	96	1
NZ_MH785237.1	1435	2	0
CP037446.1	12598	11	0
NZ_AP024219.1	5653	7	0
NZ_CP025550.1	17187	23	0
NZ_CP069359.1	456043	460	0
NC_019241.1	6309	10	0
NZ_CP008720.1	1544	2	0
CP052481.1	9294	12	0
NZ_CP004394.1	155183	136	0
NZ_CP073823.1	6455	9	0
